Date Scraped,Job Title,Company Name,Location,Salary Range,Date Posted,Applicants,Job Level,Industry,Description,Recruiter Name,Recruiter Position,Job Link
2024-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.linkedin.com/jobs/search/?currentJobId=3901104765&keywords=data%20analyst&location=united%20states
2024-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.linkedin.com/jobs/search/?currentJobId=3891728593&keywords=data%20analyst&location=united%20states
2024-04-16,Data Analyst,Avant-garde Health,Greater Boston,NA,7 hours ago,Over 200 applicants,Mid-Senior level,Hospitals and Health Care and Data Infrastructure and Analytics,"Data AnalystJob Description:Are you passionate about leveraging data to drive decision-making and improve healthcare outcomes? Avant-garde Health is seeking a Data Analytics Professional to join our team. In this role, you will be responsible for utilizing our proprietary analytics platform to extract insights and identify opportunities for performance improvement within client hospitals. If you love to geek-out on data to create measurable and lasting impact in the healthcare setting, have a strong analytical background and a desire to make a difference in the healthcare industry, we want to hear from you!Responsibilities:Utilize Avant-garde's analytics platform to analyze healthcare data and identify opportunities for improvement.Collaborate with internal teams to develop and refine analytical methodologies.Present findings and recommendations to client stakeholders in a clear and compelling manner.Assist in client onboarding and training activities.Monitor and track key metrics to measure the impact of interventions.Provide feedback to the product and engineering teams to enhance platform functionality.Individual-contributor roleHybrid location (40% office / 60% remote)Qualifications:Bachelor's or Master's degree in a quantitative discipline.3+ years of experience in data analysis, preferably in healthcare or related fields.Expert proficiency in excel and data visualization tools.Strong analytical and problem-solving skills.Detailed oriented.Excellent communication and presentation abilities.",NA,NA,https://www.linkedin.com/jobs/search/?currentJobId=3899527467&keywords=data%20analyst&location=united%20states
2024-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.linkedin.com/jobs/search/?currentJobId=3894334977&keywords=data%20analyst&location=united%20states
2024-04-16,Data Analyst,iConsultera,United States,NA,44 minutes ago,142 applicants,Entry level,Outsourcing and Offshoring Consulting,"Data AnalystLocation – Remote across the USType – Fulltime PermanentA data analyst is someone who scrutinises information using data analysis tools. The meaningful results they pull from the raw data help their employers or clients make important decisions by identifying various facts and trends. Typical duties include: using advanced computerised models to extract the data needed.Job descriptionWork extensively on database management Generate and distribute management reports (Daily, Weekly amp; Monthly) in accurate and timely manner.Provide recommendations to update current MIS to improve reporting efficiency and consistency.Perform data analysis for generating reports on a periodic basis.Preparing presentations, graphs, and analytical reports.Provide strong reporting and analytical information support to the management team.Prepare ad-hoc analysis on Operations data upon requests, using corporate business Intelligence tools and customizing queries.Analyse business information to identify process improvements for increasing business efficiency and effectiveness.Regular data backups.Should be a team player and flexible enough for multitasking.RequirementsA logical and creative approach to problem solving.Ability to handle multiple tasks.Strong and advanced MS-Excel skills.Having good knowledge joins, aggregations, subquery of SQL queries.Basic knowledge of MS-Word, PowerPoint.Having knowledge of Pandas, NumPy library for Python programming language added an advantage.Strong analytical, data visualization and interpersonal skills.Excellent written and verbal communication skills.EducationUG: B. Tech/B.E. in ComputersPG: Any Postgraduate",NA,NA,https://www.linkedin.com/jobs/search/?currentJobId=3899955524&keywords=data%20analyst&location=united%20states
2024-04-16,Data Analyst,Priority,"Alpharetta, GA","$64,000.00/yr - $83,000.00/yr",6 days ago,Over 200 applicants,Mid-Senior level,"Banking, Software Development, and Financial Services","Job Title: Data AnalystReports To: VP, Product Strategy Department: Product Strategy  Location: Alpharetta, GA (Hybrid)Grade: 14Our Company: Priority Technology Holdings, Inc. is a leading financial technology company that specializes in providing integrated payments and banking solutions. Our innovative native platform empowers businesses to effortlessly collect, store, and send money in a scalable manner. We are committed to revolutionizing the way companies handle their financial transactions by offering cutting-edge technology and exceptional customer service.Job Summary:As a Data Analyst at Priority, you will be responsible for handling and manipulating data to extract valuable insights and support decision-making processes. Your role will involve a variety of tasks aimed at organizing, analyzing, and presenting data in a coherent and accessible manner.RESPONSIBILITIES: Data Collation and Reporting:Utilize advanced Excel functions, particularly V-lookup, to gather data from multiple sheets and workbooks and consolidate it into a centralized location.Create comprehensive reports by combining data from various sources, ensuring accuracy and completeness.Data Filtering and Management:Employ data filters effectively in order to sort, hide, and search for critical information within spreadsheets while maintaining data integrity.Ensure the correct formatting of data in cells to facilitate accurate functioning of formulas and filters.Data Formatting and Layout Management:Manage page layouts and data formatting to optimize the presentation and understanding of the data.Ensure efficient use and comprehension of data through appropriate formatting techniques.Efficient Data Manipulation:Utilize AutoFill and FlashFill functionalities proficiently to expedite data entry and manipulation tasks, enhancing productivity and accuracy.Additional Skills for Versatility:Demonstrate proficiency in Pivot Tables and Charts for in-depth data analysis and visualization.Apply a variety of formulas including logical, text, data & time, and lookup & reference to derive insights from data.Implement Data Validation techniques to maintain data consistency and accuracy.Utilize Conditional Formatting to highlight significant trends, patterns, or outliers in the data.MINIMUM REQUIREMENTS:Bachelor's degree in Computer Science, Statistics, Mathematics, or related field.Proven experience in data analysis and manipulation, particularly in Excel.Strong analytical skills with a keen attention to detail.Excellent problem-solving abilities and a proactive approach to resolving issues.Ability to communicate effectively and collaborate with cross-functional teams.Familiarity with database management systems and data visualization tools is a plus.As a Data Analyst at Priority, you will play a crucial role in transforming raw data into actionable insights that drive business growth and decision-making. Your expertise in data manipulation, analysis, and reporting will contribute to the overall success of our organization in achieving its strategic objectives. If you are passionate about working with data and thrive in a dynamic and collaborative environment, we encourage you to apply and join our team.Compensation and Benefits:Compensation range: $64,000 - $83,000End of Year Discretionary BonusUnlimited PTO after year 1 (3 weeks to start)Medical, Dental & Vision401k MatchEducation Expense ReimbursementGym Membership ReimbursementHSA and FSAEmployee assistance program (EAP) Traditional Physical RequirementsRequires prolonged sitting, standing, bending, stooping and stretching.Requires the ability to lift 10 pounds.Requires eye-hand coordination, manual dexterity and a normal range of hearing and vision (with or without correction). Join our team at Priority Technology Holdings, Inc. and be part of a dynamic and innovative company that is transforming the financial technology landscape. Together, we can shape the future of payments and banking solutions while providing unmatched value to our clients.",NA,NA,https://www.linkedin.com/jobs/search/?currentJobId=3890980633&keywords=data%20analyst&location=united%20states
2024-04-16,Business Data Analyst,Genpact,New York City Metropolitan Area,"$80,000.00/yr - $100,000.00/yr",5 days ago,Over 200 applicants,Mid-Senior level,Business Consulting and Services,"Inviting applications for the role of SR Principal Consultant – Business Analyst + DA Location Fulltime, Alpharetta, GA OR NYC FulltimeExperiences Level : 10 Yrs to 15 YrsIn this role you will be responsible analyze current application and suggest innovative, efficient solutions to business users, translate business needs into IT requirements and onboard developers on the same and support business users on functional issues.Responsibilities!Analyze current application and suggest innovative, efficient solutions to business users.Translate business needs into IT requirements and onboard developers on the same.Support business users on Functional issues.Create functional and technical arch diagrams, process flows, etc. and worked in Agile environment.Create Jira dashboards, different views for reporting, PowerPoint decks for senior management updates.Follow Software Development life cycle and processes.Capture requirements and create use cases following Agile practices and feature driven methods.Execute test strategies, test plan and functional test cases.Prepare and conduct functional reviews and training sessions.Work with clients across multiple locations and maintain a consistent delivery.Ability to raise factual alerts & risks when necessary.Qualifications we seek in you!Minimum qualificationsB.E./B.Tech/MCA/M.TechPreferred qualificationsExcellent in SQL queries.Be a quick learnerGood communication skillKnowledge in AgileBusiness knowledge of lending products both security and not security basedTools: MS Visio, Jira, SharePoint, UML, SQL, MS Office (good handle on PowerPoint and excel)Basic programming knowledge, good communication skills to interact with Business teams, communicate requirements from Business to tech and QA teams.Functional and technical arch diagrams, process flows, etc. and worked in Agile environment.Jira dashboards, different views for reporting, PowerPoint decks for senior management updates.Knowledge of Finance domain.Good to have capital market experience.Genpact is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin, citizenship status, marital status, military/veteran status, genetic information, sexual orientation, gender identity, physical or mental disability or any other characteristic protected by applicable laws. Genpact is committed to creating a dynamic work environment that values diversity and inclusion, respect and integrity, client focus, and innovation. For more information, visit www.genpact.com. Follow us on Twitter, Facebook, LinkedIn, and YouTube.Best RegardsKavirala Sandeep KumarTalent AcquisitionE: Sandeep.Kavirala@genpact.comCell : 713-354-9580www.Genpact.com",Sandeep kavirala,"Hiring for Java Developer, Fulltime Roles, NY,GA, Location",https://www.linkedin.com/jobs/search/?currentJobId=3893217652&keywords=data%20analyst&location=united%20states
2024-04-16,Data Analyst,Trinus Corporation,United States,NA,1 day ago,Over 200 applicants,Associate,IT Services and IT Consulting,"Experience in the following Database: T-SQL, SQL Server, Report development in: SSRS and PowerBI SCRUM project management practices Data dictionary and requirements documentation Strong communication skillsDuties And Responsibilities Perform data validation and sanitation to ensure quality, accuracy, and consistency with the business requirements Develop data requirements for the new AHIS system. Develop and maintain data reports and dashboards to meet the business requirements. Work with the department leads to gather data requirements. Work with AHIS developers in developing, testing, and maintaining data interfaces. Work with AHIS developers and DBA in developing the new AHIS database. Provide user support on data issues. Perform data analysis Maintain data dictionary Test and validate data in the new system.Trinus Corporation, a leading provider of technology solutions and services with over 25 years of experience, is a certified WBE/MBE/SBE/SDB firm accredited by WBENC, NMSDC, and SBA.Our mission is to shape the future of work by aligning the right mix of people, process, technology, and innovation to efficiently meet our clients' business objectives.At Trinus, we understand that finding the right opportunity is pivotal in your career journey. Our staffing services go beyond mere placements; they are about matching your skills and aspirations with the perfect fit.To learn more about us, please visit our website www.trinus.com",NA,NA,https://www.linkedin.com/jobs/search/?currentJobId=3899681690&keywords=data%20analyst&location=united%20states
2024-04-16,Data Analyst,LTIMindtree,"Irvine, CA","$120,000.00/yr - $140,000.00/yr",5 days ago,Over 200 applicants,Mid-Senior level,IT Services and IT Consulting and Software Development,"About Us:LTIMindtree is a global technology consulting and digital solutions company that enables enterprises across industries to reimagine business models, accelerate innovation, and maximize growth by harnessing digital technologies. As a digital transformation partner to more than 700+ clients, LTIMindtree brings extensive domain and technology expertise to help drive superior competitive differentiation, customer experiences, and business outcomes in a converging world. Powered by nearly 90,000 talented and entrepreneurial professionals across more than 30 countries, LTIMindtree a Larsen & Toubro Group company combines the industry-acclaimed strengths of erstwhile Larsen and Toubro Infotech and Mindtree in solving the most complex business challenges and delivering transformation at scale. For more information, please visit ;/p>Job Title: Data AnalystWork Location: Irvine, CAResponsibilities• Elicits requirements from stakeholders, applying effective elicitation methods/ standards/tools.• Analyses and validates requirements using a systematic, disciplined, and analytical approach to problem solving.• Understand data flows and architecture within the Retirement Servicing industry. Worked on building and designing Target Operating Model and devising the required Business Solutions / Architecture documentation.• Strong SQL/Python skills and knowledge of database concepts • Experience with any of the visualization tools (Tableau, PowerBI, etc)• Supports functional and integration testing. Familiar with automated testing tools and validation of data analytics dashboards.• Performs data analysis to cleanse & standardize data and to ensure data consistency and quality, adhering to the Data Governance Framework.• Supports Change Management activities by providing information as required to facilitate effective communications as well as all implementation tollgates.• Provides project support to the impacted teams during implementation phases, including answering queries, trouble shooting, liaison with service provider, providing regular reporting.• Comfortable with both Agile practices and formal approval procedures for all required documentation.• Requirements• 5-10 yrs. as Data Analyst in Financial Services (Retirement Servicing desirable).• Good knowledge in Retirement Servicing, 401k , Asset Management, Funds, Portfolio management, ESG, performance & attribution, risk modelling, pre/post trade compliance, liquidity management, trade execution and other buy side trade life cycle and monitoring processes. • Good understanding of financial data domains in general and vendor data sets• Strong foundation in buy side enterprise data model including portfolio structure, security reference data, market data, pricing, transactions & position, finance, and product data.• Experience with one or more Visualization tools..Benefits/perks listed below may vary depending on the nature of your employment with LTIMindtree ( LTIM ):Benefits and Perks:Comprehensive Medical Plan Covering Medical, Dental, VisionShort Term and Long-Term Disability Coverage401(k) Plan with Company matchLife InsuranceVacation Time, Sick Leave, Paid HolidaysPaid Paternity and Maternity LeaveThe range displayed on each job posting reflects the minimum and maximum salary target for the position across all US locations. Within the range, individual pay is determined by work location and job level and additional factors including job-related skills, experience, and relevant education or training. Depending on the position offered, other forms of compensation may be provided as part of overall compensation like an annual performance-based bonus, sales incentive pay and other forms of bonus or variable compensation.Disclaimer: The compensation and benefits information provided herein is accurate as of the date of this posting.LTIMindtree is an equal opportunity employer that is committed to diversity in the workplace. Our employment decisions are made without regard to race, color, creed, religion, sex (including pregnancy, childbirth or related medical conditions), gender identity or expression, national origin, ancestry, age, family-care status, veteran status, marital status, civil union status, domestic partnership status, military service, handicap or disability or history of handicap or disability, genetic information, atypical hereditary cellular or blood trait, union affiliation, affectional or sexual orientation or preference, or any other characteristic protected by applicable federal, state, or local law, except where such considerations are bona fide occupational qualifications permitted by law.Safe return to office:In order to comply with LTIMindtree s company COVID-19 vaccine mandate, candidates must be able to provide proof of full vaccination against COVID-19 before or by the date of hire. Alternatively, one may submit a request for reasonable accommodation from LTIMindtree s COVID-19 vaccination mandate for approval, in accordance with applicable state and federal law, by the date of hire. Any request is subject to review through LTIMindtree s applicable processes.",Praveen kumar M,Talent Acquisition,https://www.linkedin.com/jobs/search/?currentJobId=3871139238&keywords=data%20analyst&location=united%20states
2024-04-16,Data Analyst,"Unreal Staffing, Inc","San Francisco, CA","$100,000.00/yr - $130,000.00/yr",5 days ago,Over 200 applicants,Entry level,"Technology, Information and Internet","Company Overview: Welcome to the forefront of data-driven decision-making! At our company, we're dedicated to harnessing the power of data to drive insights and inform strategic business decisions. Our mission is to develop actionable insights that empower our organization to achieve its goals and drive success. Join us and be part of a dynamic team committed to shaping the future of data analysis.Position Overview: As a Data Analyst, you'll play a critical role in collecting, analyzing, and interpreting data to provide actionable insights that drive business decisions. Working closely with cross-functional teams, you'll turn raw data into meaningful information, identify trends and patterns, and communicate findings to stakeholders. If you're passionate about data analysis and eager to make an impact through data-driven decision-making, we want you on our team.RequirementsKey Responsibilities: Data Collection and Preparation: Collect, clean, and preprocess data from various sources to ensure data quality and consistency for analysis Data Analysis: Perform exploratory data analysis to uncover insights, identify trends, and discover patterns in the data Statistical Analysis: Apply statistical techniques to analyze data, test hypotheses, and derive actionable insights Data Visualization: Create clear and compelling visualizations, dashboards, and reports to communicate findings and insights to stakeholders Trend Monitoring: Monitor key performance indicators (KPIs) and trends over time, identifying areas for improvement and opportunities for growth Business Insights: Provide actionable insights and recommendations to stakeholders based on data analysis, helping inform strategic decision-making Data Governance: Ensure data integrity, accuracy, and compliance with data governance policies and standards Process Improvement: Identify opportunities to improve data collection, analysis, and reporting processes, optimizing efficiency and effectivenessQualifications:Bachelor's degree in Computer Science, Statistics, Mathematics, Economics, or related fieldStrong analytical skills and attention to detail, with a passion for data-driven decision-makingProficiency in data analysis tools and programming languages such as SQL, Python, R, or ExcelExperience with data visualization tools such as Tableau, Power BI, or matplotlibKnowledge of statistical techniques and methods for data analysisStrong problem-solving abilities and critical thinking skillsExcellent communication and presentation skills, with the ability to communicate technical concepts to non-technical stakeholdersBenefitsCompetitive salary: The industry standard salary for Data Analysts typically ranges from $100,000 to $130,000 per year, depending on experience and qualificationsComprehensive health, dental, and vision insurance plansFlexible work hours and remote work optionsGenerous vacation and paid time offProfessional development opportunities, including access to training programs, conferences, and workshopsState-of-the-art technology environment with access to cutting-edge tools and resourcesVibrant and inclusive company culture with opportunities for growth and advancementExciting projects with real-world impact across diverse industriesJoin Us: Ready to make an impact through data analysis? Apply now to join our team and be part of an exciting journey of discovery and innovation!",NA,NA,https://www.linkedin.com/jobs/search/?currentJobId=3895820522&keywords=data%20analyst&location=united%20states
